,id,uid,x,y,rw,rh,iw,ih,size,imgpath,orig_y,prev_rec_y,chg_in_y
0,c12_63,63,474,1338,43,22,47,26,946,./img/img_c12_63.jpg,1338,1336,2
0,c12_62,62,852,1357,43,20,47,24,860,./img/img_c12_62.jpg,1357,1338,19
0,c12_61,61,474,1361,40,20,44,24,800,./img/img_c12_61.jpg,1361,1357,4
0,c12_56,56,726,1380,169,22,173,26,3718,./img/img_c12_56.jpg,1380,1361,19
0,c12_55,55,474,1384,30,20,34,24,600,./img/img_c12_55.jpg,1384,1380,4
0,c12_54,54,832,1403,63,21,67,25,1323,./img/img_c12_54.jpg,1403,1384,19
0,c12_53,53,779,1404,40,21,44,25,840,./img/img_c12_53.jpg,1404,1403,1
0,c12_52,52,549,1406,42,21,46,25,882,./img/img_c12_52.jpg,1406,1404,2
0,c12_50,50,475,1407,39,21,43,25,819,./img/img_c12_50.jpg,1407,1406,1
0,c12_48,48,800,1427,96,21,100,25,2016,./img/img_c12_48.jpg,1427,1407,20
0,c12_47,47,475,1430,81,21,85,25,1701,./img/img_c12_47.jpg,1430,1427,3
0,c12_46,46,832,1450,64,21,68,25,1344,./img/img_c12_46.jpg,1450,1430,20
0,c12_45,45,474,1452,83,25,87,29,2075,./img/img_c12_45.jpg,1452,1450,2
0,c12_44,44,569,1452,51,21,55,25,1071,./img/img_c12_44.jpg,1452,1452,0
0,c12_43,43,854,1473,43,22,47,26,946,./img/img_c12_43.jpg,1473,1452,21
0,c12_42,42,801,1474,43,23,47,27,989,./img/img_c12_42.jpg,1474,1473,1
0,c12_40,40,537,1476,72,22,76,26,1584,./img/img_c12_40.jpg,1476,1474,2
0,c12_39,39,475,1478,52,22,56,26,1144,./img/img_c12_39.jpg,1478,1476,2
0,c12_38,38,834,1498,63,20,67,24,1260,./img/img_c12_38.jpg,1498,1478,20
0,c12_37,37,473,1501,52,22,56,26,1144,./img/img_c12_37.jpg,1501,1498,3
0,c12_36,36,834,1545,64,23,68,27,1472,./img/img_c12_36.jpg,1545,1501,44
0,c12_35,35,526,1548,64,22,68,26,1408,./img/img_c12_35.jpg,1548,1545,3
0,c12_34,34,473,1550,43,20,47,24,860,./img/img_c12_34.jpg,1550,1548,2
0,c12_32,32,708,1570,63,22,67,26,1386,./img/img_c12_32.jpg,1570,1550,20
0,c12_31,31,579,1571,86,22,90,26,1892,./img/img_c12_31.jpg,1571,1570,1
0,c12_30,30,675,1571,21,21,25,25,441,./img/img_c12_30.jpg,1571,1571,0
0,c12_25,25,616,1667,94,25,98,29,2350,./img/img_c12_25.jpg,1667,1571,96
0,c12_23,23,723,1667,53,21,57,25,1113,./img/img_c12_23.jpg,1667,1667,0
0,c12_21,21,764,1691,55,22,59,26,1210,./img/img_c12_21.jpg,1691,1667,24
0,c12_20,20,829,1691,22,21,26,25,462,./img/img_c12_20.jpg,1691,1691,0
0,c12_17,17,647,1692,107,24,111,28,2568,./img/img_c12_17.jpg,1692,1691,1
0,c12_14,14,593,1693,44,21,48,25,924,./img/img_c12_14.jpg,1693,1692,1
0,c12_13,13,550,1694,33,22,37,26,726,./img/img_c12_13.jpg,1694,1693,1
0,c12_8,8,551,1715,301,70,305,74,21070,./img/img_c12_8.jpg,1715,1694,21
0,c12_7,7,793,1810,54,22,58,26,1188,./img/img_c12_7.jpg,1810,1715,95
0,c12_6,6,857,1810,64,21,68,25,1344,./img/img_c12_6.jpg,1810,1810,0
0,c12_5,5,728,1811,54,21,58,25,1134,./img/img_c12_5.jpg,1811,1810,1
0,c12_4,4,556,1812,28,22,32,26,616,./img/img_c12_4.jpg,1812,1811,1
0,c12_2,2,593,1812,217,45,221,49,9765,./img/img_c12_2.jpg,1812,1812,0
0,c12_1,1,695,1812,22,20,26,24,440,./img/img_c12_1.jpg,1812,1812,0
0,c12_0,0,480,1813,65,21,69,25,1365,./img/img_c12_0.jpg,1813,1812,1
